epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.258,1.63117,4.9711,1.83215,0,0,0,0,1.21209,5.56554,2.01911,2.3e-05,2.3e-05,2.3e-05
2,470.078,1.25903,4.7758,1.60131,0,0,0,0,0.80485,5.31097,1.58331,4.62164e-05,4.62164e-05,4.62164e-05
3,680.966,1.11238,4.33705,1.45507,0.15385,0.26667,0.22388,0.15821,0.85787,4.79276,1.49936,6.84765e-05,6.84765e-05,6.84765e-05
4,902.102,1.10074,3.72436,1.50582,0.29603,0.94444,0.65615,0.45821,0.97368,3.89429,1.5835,8.97803e-05,8.97803e-05,8.97803e-05
5,1115.22,1.08952,3.15249,1.46011,0.91488,0.48324,0.74825,0.51902,1.05464,3.55939,1.67255,0.000105892,0.000105892,0.000105892
6,1325.41,1.1448,2.69446,1.50542,0.73607,0.6636,0.81923,0.5817,1.05931,3.04988,1.66765,0.000103615,0.000103615,0.000103615
7,1536.83,1.18421,2.32564,1.53279,0.81668,0.65354,0.81796,0.55312,1.15499,2.73957,1.73741,0.000101338,0.000101338,0.000101338
8,1744.15,1.11651,2.07001,1.47033,0.80274,0.77814,0.85019,0.61675,0.97012,2.44559,1.60458,9.9061e-05,9.9061e-05,9.9061e-05
9,1955.04,1.0789,1.83802,1.41652,0.80286,0.82526,0.86782,0.62517,1.02953,2.26538,1.62966,9.6784e-05,9.6784e-05,9.6784e-05
10,2168.15,1.01737,1.70168,1.37277,0.97748,0.76121,0.88782,0.63226,1.05212,2.18509,1.65614,9.4507e-05,9.4507e-05,9.4507e-05
11,2382.24,1.0658,1.75575,1.43551,0.773,0.7697,0.87341,0.61602,1.03679,2.81287,1.61848,9.223e-05,9.223e-05,9.223e-05
12,2592.13,0.97322,1.52459,1.34552,0.92717,0.80062,0.87989,0.63336,0.98328,2.14119,1.57963,8.9953e-05,8.9953e-05,8.9953e-05
13,2802.7,0.96425,1.54152,1.35639,0.82652,0.79136,0.86817,0.62185,0.97525,2.32293,1.57412,8.7676e-05,8.7676e-05,8.7676e-05
14,3013.61,0.9322,1.47208,1.34836,0.92908,0.77258,0.87541,0.58205,1.06016,2.33228,1.66705,8.5399e-05,8.5399e-05,8.5399e-05
15,3223.45,0.92145,1.38185,1.31108,0.73979,0.77778,0.82912,0.58964,1.03887,2.44419,1.62976,8.3122e-05,8.3122e-05,8.3122e-05
16,3432.43,0.95758,1.39288,1.32637,0.82291,0.82558,0.84821,0.6186,1.00654,2.21018,1.58793,8.0845e-05,8.0845e-05,8.0845e-05
17,3642.6,0.915,1.36252,1.31185,0.89255,0.79608,0.86612,0.59645,1.0323,2.28778,1.58698,7.8568e-05,7.8568e-05,7.8568e-05
18,3856.2,0.84357,1.33484,1.23826,0.87164,0.76666,0.87159,0.61953,1.00497,2.19372,1.5728,7.6291e-05,7.6291e-05,7.6291e-05
19,4068.33,0.88794,1.27484,1.26575,0.82259,0.74167,0.81307,0.55596,1.04807,2.31046,1.63564,7.4014e-05,7.4014e-05,7.4014e-05
20,4278.82,0.86624,1.22919,1.26788,0.80679,0.84235,0.85843,0.61222,1.06435,2.37216,1.65356,7.1737e-05,7.1737e-05,7.1737e-05
21,4493.71,0.84158,1.16189,1.24402,0.85911,0.80833,0.87204,0.61857,1.01248,2.13245,1.60126,6.946e-05,6.946e-05,6.946e-05
22,4705.33,0.85564,1.26002,1.34937,0.88619,0.75966,0.86623,0.61459,1.00182,2.17557,1.61102,6.7183e-05,6.7183e-05,6.7183e-05
23,4916.26,0.86646,1.23251,1.27147,0.88614,0.81734,0.86223,0.63139,0.99551,2.14217,1.61322,6.4906e-05,6.4906e-05,6.4906e-05
24,5126.97,0.87111,1.1713,1.25397,0.9133,0.80187,0.86966,0.63112,1.00404,2.14455,1.60377,6.2629e-05,6.2629e-05,6.2629e-05
25,5335.62,0.80472,1.17076,1.21052,0.87801,0.79722,0.87581,0.62703,1.00736,2.12695,1.60015,6.0352e-05,6.0352e-05,6.0352e-05
26,5546.25,0.82948,1.18428,1.29605,0.7975,0.83966,0.89977,0.64377,1.0344,2.1208,1.63622,5.8075e-05,5.8075e-05,5.8075e-05
27,5752.01,0.83474,1.1477,1.23505,0.94475,0.7711,0.89735,0.63934,1.02781,2.02232,1.6324,5.5798e-05,5.5798e-05,5.5798e-05
28,5958.87,0.80724,1.08577,1.20028,0.91893,0.83548,0.86601,0.63216,1.05125,2.01277,1.67261,5.3521e-05,5.3521e-05,5.3521e-05
29,6164.65,0.81084,1.11516,1.2097,0.79938,0.86018,0.85715,0.6258,1.04087,2.04724,1.64175,5.1244e-05,5.1244e-05,5.1244e-05
30,6371.09,0.74849,1.05411,1.18098,0.88247,0.7932,0.8643,0.63438,0.99923,2.10546,1.58688,4.8967e-05,4.8967e-05,4.8967e-05
31,6581.55,0.77889,1.18999,1.18045,0.83631,0.81654,0.8689,0.62109,1.02242,2.11968,1.64925,4.669e-05,4.669e-05,4.669e-05
32,6790.1,0.7778,1.07703,1.19099,0.83127,0.81656,0.88059,0.64326,0.99006,2.07391,1.60129,4.4413e-05,4.4413e-05,4.4413e-05
33,6999.17,0.78978,1.0501,1.19065,0.82191,0.80217,0.86433,0.63751,1.0068,2.08666,1.62377,4.2136e-05,4.2136e-05,4.2136e-05
34,7207.97,0.78175,1.08315,1.17914,0.82995,0.80664,0.85845,0.62719,1.02812,2.08952,1.65445,3.9859e-05,3.9859e-05,3.9859e-05
35,7419.88,0.75327,1.01139,1.17448,0.83265,0.82073,0.86485,0.62798,1.04213,2.02082,1.68608,3.7582e-05,3.7582e-05,3.7582e-05
36,7628.25,0.71149,1.07035,1.16451,0.87792,0.81137,0.89178,0.65592,1.00074,1.88096,1.60473,3.5305e-05,3.5305e-05,3.5305e-05
37,7836.15,0.77398,1.13977,1.19731,0.87032,0.83832,0.89317,0.65692,0.9973,1.88011,1.59827,3.3028e-05,3.3028e-05,3.3028e-05
38,8046.82,0.80701,1.15834,1.22634,0.89885,0.8411,0.88295,0.64246,1.01524,1.99215,1.63499,3.0751e-05,3.0751e-05,3.0751e-05
39,8259.01,0.74182,1.08588,1.1697,0.88508,0.81414,0.87721,0.63979,1.00263,2.01019,1.61643,2.8474e-05,2.8474e-05,2.8474e-05
40,8467.85,0.72705,1.05494,1.15716,0.85163,0.83665,0.87752,0.63419,0.99535,1.94492,1.60007,2.6197e-05,2.6197e-05,2.6197e-05
41,8674.64,0.65683,1.44582,1.17504,0.85414,0.84444,0.87789,0.63241,1.02491,1.98638,1.63448,2.392e-05,2.392e-05,2.392e-05
42,8879.62,0.71415,1.52363,1.18982,0.7766,0.84444,0.83848,0.6079,1.04271,2.09178,1.6529,2.1643e-05,2.1643e-05,2.1643e-05
43,9083.03,0.6269,1.31568,1.12291,0.76555,0.84444,0.81839,0.59663,1.02525,2.10646,1.6353,1.9366e-05,1.9366e-05,1.9366e-05
44,9290.75,0.62288,1.2974,1.1403,0.75866,0.83194,0.82511,0.61556,0.98151,2.05064,1.59209,1.7089e-05,1.7089e-05,1.7089e-05
45,9498.52,0.60817,1.33621,1.15128,0.87211,0.76672,0.82802,0.62016,0.96723,1.98762,1.5715,1.4812e-05,1.4812e-05,1.4812e-05
46,9705.21,0.6595,1.25598,1.19117,0.87636,0.77419,0.83719,0.62073,0.96203,1.95038,1.56787,1.2535e-05,1.2535e-05,1.2535e-05
47,9921.24,0.62326,1.31084,1.13689,0.84618,0.81414,0.85186,0.63242,0.96425,1.92585,1.57187,1.0258e-05,1.0258e-05,1.0258e-05
48,10134,0.58046,1.28799,1.05955,0.84579,0.80786,0.82077,0.60996,0.97239,1.96625,1.58329,7.981e-06,7.981e-06,7.981e-06
49,10342.6,0.57566,1.20927,1.07025,0.84785,0.80785,0.8213,0.60368,0.96936,1.96631,1.5824,5.704e-06,5.704e-06,5.704e-06
50,10550.5,0.59105,1.28878,1.10337,0.83342,0.80791,0.81535,0.59996,0.96599,1.96438,1.57771,3.427e-06,3.427e-06,3.427e-06
