epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.036,1.3411,2.84261,1.61564,0.0041,0.97778,0.42554,0.27625,0.84085,3.42016,1.48864,0.0002858,0.0002858,0.0002858
2,336.422,1.15491,2.02403,1.49026,1,0.28272,0.63534,0.38899,1.15689,3.06023,1.72473,0.000574289,0.000574289,0.000574289
3,521.7,1.15194,1.73171,1.43371,0.52856,0.43166,0.40464,0.20384,1.97214,3.20969,2.97887,0.000850895,0.000850895,0.000850895
4,741.77,1.24186,1.66885,1.5424,0.33161,0.38788,0.2979,0.13834,1.71616,4.37846,2.45186,0.00111562,0.00111562,0.00111562
5,954.397,1.22566,1.68339,1.49503,0.62159,0.72491,0.60688,0.36423,1.35892,2.71009,2.0092,0.00131582,0.00131582,0.00131582
6,1166.64,1.22847,1.67862,1.5092,0.72358,0.49128,0.60589,0.37482,1.38653,2.89583,2.08495,0.00128753,0.00128753,0.00128753
7,1384.3,1.22273,1.569,1.48579,0.80403,0.6692,0.67395,0.36607,1.32608,3.72727,2.09745,0.00125923,0.00125923,0.00125923
8,1603.19,1.18354,1.43228,1.47207,0.57578,0.70837,0.61108,0.33919,1.35792,2.79924,2.18562,0.00123094,0.00123094,0.00123094
9,1828.23,1.17983,1.39144,1.40418,0.56176,0.53607,0.46717,0.23576,1.72209,3.42465,2.36998,0.00120265,0.00120265,0.00120265
10,2054.85,1.13364,1.23608,1.38911,0.65097,0.69319,0.66554,0.36679,1.29256,2.39228,1.96835,0.00117435,0.00117435,0.00117435
11,2286.14,1.22927,1.46071,1.4909,0.64378,0.71212,0.72019,0.46003,1.14815,1.94837,1.77862,0.00114606,0.00114606,0.00114606
12,2511.46,1.07684,1.1627,1.35416,0.80013,0.68049,0.74715,0.45086,1.26479,1.80362,1.91977,0.00111776,0.00111776,0.00111776
13,2722.79,1.11707,1.18551,1.409,0.74277,0.55335,0.6177,0.31194,1.69864,2.13479,2.41312,0.00108947,0.00108947,0.00108947
14,2929.55,1.05342,1.11284,1.36808,0.77515,0.63689,0.714,0.44715,1.25981,1.80651,1.94091,0.00106118,0.00106118,0.00106118
15,3136.06,1.02009,1.02432,1.33893,0.74636,0.64242,0.70547,0.38456,1.46549,2.06545,2.27578,0.00103288,0.00103288,0.00103288
16,3339.33,1.05354,1.07563,1.33367,0.76718,0.73131,0.73771,0.46007,1.32959,1.75699,1.88196,0.00100459,0.00100459,0.00100459
17,3546.76,1.02092,0.99937,1.31214,0.65826,0.8464,0.69928,0.43479,1.35791,1.7686,2.06889,0.000976293,0.000976293,0.000976293
18,3750.01,0.95202,0.93441,1.26961,0.62683,0.76465,0.7716,0.46656,1.39736,1.6655,1.95769,0.000947999,0.000947999,0.000947999
19,3956.29,0.99489,0.93988,1.29242,0.89236,0.77866,0.90704,0.52471,1.37884,1.34431,1.97726,0.000919704,0.000919704,0.000919704
20,4161.09,0.99836,0.92989,1.2941,0.92779,0.59848,0.80745,0.4563,1.51105,1.34982,2.15328,0.00089141,0.00089141,0.00089141
21,4362.17,0.93855,0.81257,1.25521,0.66306,0.66076,0.71315,0.37789,1.6646,1.71298,2.40151,0.000863116,0.000863116,0.000863116
22,4561.19,0.97232,0.87906,1.38096,0.80795,0.81111,0.83375,0.46535,1.47451,1.47542,2.12748,0.000834822,0.000834822,0.000834822
23,4759.24,0.97905,0.89668,1.30496,0.74102,0.67778,0.71728,0.42921,1.36287,1.69729,1.94159,0.000806528,0.000806528,0.000806528
24,4958.89,0.94568,0.87771,1.2691,0.87938,0.7734,0.86595,0.58182,1.25939,1.14431,1.83863,0.000778233,0.000778233,0.000778233
25,5157.1,0.89394,0.79441,1.22303,0.7296,0.86364,0.83562,0.59108,1.01187,1.27623,1.5559,0.000749939,0.000749939,0.000749939
26,5354.3,0.89739,0.89145,1.26724,0.77109,0.86508,0.88512,0.59107,1.16352,1.14958,1.72149,0.000721645,0.000721645,0.000721645
27,5553.37,0.91658,0.77416,1.24575,0.78188,0.76784,0.83453,0.57341,1.1147,1.27999,1.6934,0.000693351,0.000693351,0.000693351
28,5753.46,0.88585,0.73969,1.212,0.86882,0.7969,0.89882,0.64934,1.08245,1.10735,1.70866,0.000665057,0.000665057,0.000665057
29,5950.25,0.92999,0.76937,1.2301,0.8282,0.7697,0.8571,0.60716,1.07762,1.10879,1.72213,0.000636762,0.000636762,0.000636762
30,6146.02,0.8501,0.70027,1.19813,0.78106,0.84985,0.876,0.56059,1.14055,1.07323,1.81471,0.000608468,0.000608468,0.000608468
31,6340.5,0.83978,0.76494,1.18751,0.83976,0.7731,0.85049,0.55162,1.19176,1.10852,1.77874,0.000580174,0.000580174,0.000580174
32,6537.99,0.8202,0.68455,1.191,0.77501,0.84444,0.86366,0.5986,1.05833,1.09051,1.66614,0.00055188,0.00055188,0.00055188
33,6733.34,0.84661,0.68015,1.17438,0.86979,0.81027,0.8669,0.57458,1.13584,1.01835,1.73258,0.000523586,0.000523586,0.000523586
34,6928.07,0.8423,0.71126,1.17927,0.91845,0.82927,0.92852,0.6118,1.17274,0.9044,1.76632,0.000495291,0.000495291,0.000495291
35,7123.1,0.80766,0.62775,1.16503,0.87695,0.85557,0.92226,0.61697,1.1902,0.94103,1.83045,0.000466997,0.000466997,0.000466997
36,7317.14,0.78101,0.6835,1.15428,0.85082,0.82222,0.91705,0.62385,1.10897,0.92623,1.67554,0.000438703,0.000438703,0.000438703
37,7512.33,0.79908,0.8467,1.19205,0.84227,0.84444,0.91114,0.59454,1.15288,0.94568,1.7664,0.000410409,0.000410409,0.000410409
38,7707.42,0.78925,0.70969,1.16934,0.85621,0.79698,0.88917,0.62065,1.02129,0.92649,1.60764,0.000382115,0.000382115,0.000382115
39,7900.35,0.79194,0.69517,1.17247,0.88172,0.75556,0.873,0.60287,1.04849,0.93733,1.6459,0.00035382,0.00035382,0.00035382
40,8091.86,0.76353,0.61639,1.15279,0.76827,0.84635,0.8642,0.62466,1.04215,1.01126,1.61404,0.000325526,0.000325526,0.000325526
41,8281.15,0.68458,0.61187,1.15896,0.75044,0.8494,0.82754,0.57309,1.01798,1.094,1.61517,0.000297232,0.000297232,0.000297232
42,8470.74,0.68275,0.62929,1.14399,0.78822,0.7583,0.81572,0.5748,1.02351,1.16105,1.61253,0.000268938,0.000268938,0.000268938
43,8659.56,0.65455,0.52193,1.11575,0.81627,0.73764,0.84398,0.57373,1.15457,1.17373,1.74748,0.000240644,0.000240644,0.000240644
44,8848.89,0.60187,0.48324,1.09551,0.81669,0.82286,0.86914,0.59426,1.07429,1.00269,1.67383,0.000212349,0.000212349,0.000212349
45,9037.59,0.59635,0.52392,1.11236,0.81628,0.80923,0.87022,0.6123,1.04802,1.03527,1.63066,0.000184055,0.000184055,0.000184055
46,9224.5,0.63648,0.53695,1.11924,0.92734,0.81344,0.87428,0.6401,0.99564,1.00178,1.59441,0.000155761,0.000155761,0.000155761
47,9414.9,0.60269,0.49064,1.09372,0.89122,0.79152,0.88791,0.64055,1.00733,0.98689,1.60729,0.000127467,0.000127467,0.000127467
48,9604.13,0.59635,0.56695,1.06246,0.84534,0.82012,0.89051,0.62672,1.04668,1.00303,1.67527,9.91726e-05,9.91726e-05,9.91726e-05
